supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
"Shenzhen Xindali Technology Co., LTD",S25U,2372864,SMARTPHONE,B,C,2.55,2025-05-29,12,5,3600,2148,2,200,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_7,D,60,2.55,2.55,2.55,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2505,2259410,SMARTPHONE,B,C,2.99,2025-06-05,24,5,5200,2827,8,800,True,55,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,C,100,2.9,3.1,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://vivospareparts.com/
OUKITEL,C1 Pro,2384172,SMARTPHONE,A,B,3.47,2025-06-10,12,5,5150,3913,12,1200,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,A,270,3.9,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HAMMER,Construction,2374820,SMARTPHONE,C,B,3.48,2022-10-11,24,5,6000,2760,5,500,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_6,A,455,4.2,4.8,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
"Guangzhou Shangke Information Technology Co., Ltd.",TLA001,2386772,SMARTPHONE,F,B,3.52,2025-06-12,12,5,8000,5870,8,800,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_5,E,52,4.1,2.7,2.95,PRIORITY,NO_COST,/,/
OSCAL,TIGER 13,2394833,SMARTPHONE,B,B,3.43,2025-06-20,24,5,5000,2946,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,138,4.3,4.9,4.8,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
realme,RMX3939,2398244,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
SPC,ZEUS 2 - 2353,2380124,SMARTPHONE,B,B,3.49,2025-05-16,24,5,2300,1340,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,C,90,3.45,3.4,3.1,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
TCL,T517F,2371500,SMARTPHONE,B,B,3.44,2025-05-26,24,5,4900,3163,10,1000,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.1,3.6,3.15,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
motorola,e15 (XT2523-6),2208427,SMARTPHONE,A,B,3.39,2024-12-29,60,5,5100,4106,10,1000,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,B,180,2.3,3.4,4.35,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
HMD,TA-1688,2238053,SMARTPHONE,A,A,4.01,2025-06-20,36,5,4500,2910,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_8,A,270,4.05,5,4,PRIORITY,NO_COST,https://www.hmd.com/en_int/self-repair,https://www.hmd.com/en_int/self-repair
XGODY,X36,2391877,SMARTPHONE,B,B,3.59,2025-06-18,12,5,3800,2355,9,900,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,D,45,4.15,2.6,4.45,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
nubia,Z2465N,2343875,SMARTPHONE,C,B,3,2025-05-01,24,5,4930,2457,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,80,2.7,3.2,4,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/nubia/nubia-neo-3-gt-5g,https://www.ztedevices.com/en/support/service-center.html
DOOGEE,T40 Pro,2406122,SMARTPHONE,E,C,3.16,2025-07-03,12,5,10200,3593,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OSCAL,PILOT 3,2394385,SMARTPHONE,A,C,3.28,2025-06-20,12,5,7500,7125,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.4,2.7,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
OSCAL,PILOT 1,2378074,SMARTPHONE,A,C,3.21,2025-06-04,12,5,15000,9999,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.7,2.6,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
motorola,g35 5G (XT2433-5),2266112,SMARTPHONE,B,B,3.99,2024-10-08,36,7,4850,2907,10,1000,True,20,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,180,2.4,3.3,4.35,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
HONOR,DNP-NX9,2327983,SMARTPHONE,A,B,3.61,2025-05-19,24,5,5170,3387,12,1200,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.7,3.6,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.honor.com/de/support/self-repair,https://honor.gsmnet.eu/
Blackview,WAVE 8C,2378027,SMARTPHONE,A,B,3.7,2025-06-04,12,5,5000,4305,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.6,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
OSCAL,MARINE 1,2394760,SMARTPHONE,B,C,2.59,2025-06-20,24,5,5100,2974,8,800,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_7,A,278,2.15,4.7,3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
DORO,DSC-0540,2342204,SMARTPHONE,C,B,3.71,2025-05-20,24,5,3000,1578,10,1000,True,10,USB_C,ANDROID,True,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,A,210,3.3,4.26,4,PRIORITY,NO_COST,www.doro.com/repair,www.doro.com/repair
ZTE,Z2467,2343633,SMARTPHONE,B,B,3.48,2025-03-01,24,5,5200,3120,8,800,True,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,200,3,3.2,4,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/zte-blade-v70-max,https://www.ztedevices.com/en/support/service-center.html
SPC,ZEUS 2 PRO - 2354,2380121,SMARTPHONE,C,B,3.34,2025-05-16,24,5,3700,1688,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,C,90,3.45,2.4,3.1,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
OPPO,CPH2711,2245892,SMARTPHONE,B,B,3.81,2025-05-05,24,6,5640,3446,16,1600,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.85,5,3,PRIORITY,NO_COST,https://support.oppo.com/en/answer/?aid=2204306,https://support.oppo.com/en/answer/?aid=2204306
TCL,T702D,2352397,SMARTPHONE,B,B,3.38,2024-07-27,24,5,4900,2711,10,1000,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_7,B,180,2.8,3.2,3.7,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
ulefone,Armor  X13,2389026,SMARTPHONE,A,C,3.24,2023-08-19,24,5,6320,4995,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.15,2.2,3.15,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
DOOGEE,Blade20 Pro,2402036,SMARTPHONE,C,C,3.15,2025-06-28,12,5,10300,5158,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.9,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen Jiaqi Technology Co., Ltd.",X25 Ultra,2337717,SMARTPHONE,F,C,3.15,2025-04-23,12,5,3800,1156,8,800,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,C,90,3.35,3.6,3.8,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Blackview,BV5300 Pro,2394299,SMARTPHONE,B,C,3.28,2025-06-20,12,5,6580,3563,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.4,2.7,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP36,2343640,SMARTPHONE,D,C,3.09,2025-04-29,12,5,10600,4538,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.15,3.2,4.15,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
SPC,DISCOVERY 3 SE - 2526,2271574,SMARTPHONE,E,B,3.46,2025-03-14,36,5,4900,1685,8,800,False,15,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,C,179,3.1,2.9,4,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
OUKITEL,C58,2392118,SMARTPHONE,B,C,3.33,2025-06-18,12,5,5150,2850,10,1000,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,180,3.35,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,S118,2399795,SMARTPHONE,C,C,3.19,2025-06-26,12,5,10800,5230,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.05,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP35 S,2356958,SMARTPHONE,A,A,4.1,2025-05-13,12,7,11000,7251,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.65,3.65,2.65,PRIORITY,NO_COST,/,/
realme,RMX3867,2398255,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen Baitai Network Technology Co., Ltd",C25 Ultra,2389053,SMARTPHONE,C,B,3.43,2025-06-16,12,5,4100,2170,14,1400,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,B,180,3.75,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ASUS,ASUSAI2501C,2224461,SMARTPHONE,A,C,2.69,2024-12-31,12,5,2790,3660,12,1200,False,65,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_6,D,45,1.25,4.2,2.7,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,dlcdnets.asus.com/pub/ASUS/ZeSnFone/AI2501/E23583_AI2501_SM_WEB.pdf?model=ROG Phone 9,https://en.accessoires-asus.com/zenfone/
ulefone,Armor  28 Ultra,2392379,SMARTPHONE,A,B,3.5,2025-02-18,24,5,5300,6750,10,1000,False,99,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.35,4.7,4.05,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
realme,RMX5079,2290912,SMARTPHONE,A,B,3.59,2025-05-01,24,6,5130,3897,14,1400,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2.5,MOHS_5,C,90,3.75,3.6,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
HOTWAV,Hyper 7 Pro,2391574,SMARTPHONE,B,C,3.15,2025-06-18,12,5,10800,5913,12,1200,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_5,A,270,2.9,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
AGM MOBILE LIMITED,AGM_PAD_P2W,2371497,SMARTPHONE,G,B,3.48,2025-05-28,24,5,8000,4685,8,800,False,20,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,C,155,3.85,3,2.8,PRIORITY,NO_COST,/,/
OUKITEL,C60 Pro,2384181,SMARTPHONE,B,B,3.37,2025-06-10,12,5,8800,5017,12,1200,False,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Samsung,SM-S721B/DS,2284557,SMARTPHONE,B,C,3.11,2024-08-30,24,5,4565,2520,20,2000,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.3,3.1,2.8,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
XGODY,X32,2391887,SMARTPHONE,B,B,3.59,2025-06-18,12,5,2500,1553,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,D,45,4.15,2.6,4.45,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
FOSSIBOT,F114,2394679,SMARTPHONE,A,C,3.16,2025-06-20,12,5,5000,3467,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.95,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ulefone,Armor X16,2402609,SMARTPHONE,A,C,3.1,2025-06-11,24,5,10360,7014,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_5,A,270,3,1.8,2.85,PRIORITY,NO_COST, https://www.ulefone.com/pages/support-centers, https://www.ulefone.com/pages/support-centers
Redmi,25028RN03Y,2294302,SMARTPHONE,B,C,2.63,2025-06-20,12,5,5100,2726,10,1000,True,15,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,A,270,3.1,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
DOOGEE,S200,2389188,SMARTPHONE,B,C,3.2,2025-06-16,12,5,10100,5913,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2448,2217849,SMARTPHONE,B,B,3.39,2025-03-20,24,5,5150,2685,8,800,True,55,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,C,90,2.4,4.6,3,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair
TCL,T517D,2353156,SMARTPHONE,B,B,3.57,2025-05-26,24,5,4900,2947,10,1000,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.65,3.6,3.15,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
UMIDIGI,PG4YBG9AA,2394278,SMARTPHONE,C,B,3.44,2025-06-20,12,5,5000,2644,16,1600,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.8,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
AGM,AGM_H6,2380998,SMARTPHONE,C,B,3.66,2025-06-06,24,5,4900,2260,8,800,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,B,269,3.8,3.4,3.7,PRIORITY,NO_COST,/,/
OPPO,CPH2697,2239817,SMARTPHONE,B,B,3.37,2025-02-10,24,6,5640,3456,16,1600,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,C,120,3.4,3.9,2.9,PRIORITY,NO_COST,https://support.oppo.com/en/answer/?aid=2204306,https://support.oppo.com/en/answer/?aid=2204306
OUKITEL,WP210,2394666,SMARTPHONE,C,C,3.34,2025-06-20,12,5,8800,4436,11,1100,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.45,2.6,3.95,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ulefone,Armor  30 Pro ,2392358,SMARTPHONE,A,C,3.04,2025-03-14,24,5,12800,8520,10,1000,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.35,2.2,3.15,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ulefone,Armor  X12 Pro,2392632,SMARTPHONE,B,C,3.1,2023-08-19,24,5,4860,2911,10,1000,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.2,2.1,2.25,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ulefone,Armor Mini 20 Pro,2394341,SMARTPHONE,B,B,3.64,2024-10-11,24,5,6200,3750,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.85,4.5,4.05,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ZTE,Z2453,2336396,SMARTPHONE,C,B,3.44,2024-08-01,24,5,4900,2296,8,800,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,45,2.9,3.2,3.9,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/zte-blade-a35,https://www.ztedevices.com/en/support/service-center.html
DOOGEE,S200 Plus,2391850,SMARTPHONE,B,C,3.2,2025-06-18,12,5,10100,5913,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,V50,2406314,SMARTPHONE,C,C,3.18,2025-07-03,12,5,8680,7916,12,1200,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
CUBOT,KINGKONG 9,2399611,SMARTPHONE,C,C,3.19,2025-06-26,12,5,10600,5455,16,1600,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,99.99,MOHS_7,A,270,3.05,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP39,2378095,SMARTPHONE,B,C,3.16,2025-06-04,12,5,11000,6563,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.65,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen kehuitong Technology Co., Ltd.",F14pro,2389070,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen Redbeat Technology Co., LTD",E3,2370240,SMARTPHONE,D,C,2.68,2025-05-27,12,5,5000,2202,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_8,D,46,2.5,4.7,3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
HAMMER,ENERGY X ,2365627,SMARTPHONE,C,B,3.47,2023-04-06,24,5,500,2396,5,500,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,450,4.15,4.8,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
MUNBYN,IPDA101,2389755,SMARTPHONE,A,C,3.1,2025-06-16,12,5,3520,5449,15,1500,False,30,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_5,A,270,3.25,2.6,3.7,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP39 Pro,2384162,SMARTPHONE,B,C,3.16,2025-06-10,12,5,11000,6563,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.65,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Fire 6 Max,2406126,SMARTPHONE,E,C,3.16,2025-07-03,12,5,20800,7055,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
APPLE,A3094,2251145,SMARTPHONE,B,C,2.94,2023-09-22,24,5,4383,2700,10,1000,False,5,USB_C,IOS,False,IP68,DUST_TIGHT,CONT_IMMERSION,6,MOHS_4,C,90,2.6,3.2,2.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://support.apple.com/self-service-repair,https://support.apple.com/self-service-repair
HONOR,ABR-NX1,2335727,SMARTPHONE,B,B,3.63,2025-04-15,24,5,5100,2936,14,1400,True,10,USB_C,ANDROID,False,IP64,DUST_TIGHT,SPLASHING,,MOHS_4,B,180,3.8,3.6,4.3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.honor.com/de/support/self-repair,https://honor.gsmnet.eu/
Blackview,COLOR 6,2394748,SMARTPHONE,B,C,3.21,2025-06-20,24,5,5000,2915,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,156,4.1,4.2,4.4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
DOOGEE,Fire 6,2406177,SMARTPHONE,D,C,3.23,2025-07-03,12,5,15500,6326,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.25,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
JCB Phone,Toughphone P20,2391122,SMARTPHONE,B,D,3,2025-06-23,24,5,9800,5838,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2,2,3,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,www.jcbphone.com/support,www.jcbphone.com
Blackview,BV8200,2394328,SMARTPHONE,A,B,3.51,2025-06-20,12,5,8800,7125,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.9,3,3.9,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
OUKITEL,C62,2403776,SMARTPHONE,B,C,3.33,2025-07-01,12,5,5150,2850,10,1000,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,A,270,3.35,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Redmi,24116RACCG,2305634,SMARTPHONE,B,C,2.61,2025-06-20,12,5,5350,3176,10,1000,True,45,USB_C,ANDROID,False,IP64,DUST_TIGHT,SPLASHING,,MOHS_5,B,180,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
