supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
OUKITEL,WP55,2378582,SMARTPHONE,D,C,3.18,2025-06-04,12,5,11000,4491,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.95,2.6,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP38,2343645,SMARTPHONE,D,C,3.12,2025-04-29,12,5,10600,4627,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.2,3.3,4.15,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
CUBOT,KINGKONG X PRO,2400653,SMARTPHONE,C,C,3.24,2025-06-27,12,5,10200,5339,14,1400,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_7,A,270,3.3,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Blackview,BV4800 Pro,2378084,SMARTPHONE,C,C,3.17,2025-06-04,12,5,5180,2586,8,800,False,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.95,2.6,3.65,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
realme,RMX5078,2296338,SMARTPHONE,A,B,3.59,2025-03-01,24,6,5860,4369,16,1600,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2.5,MOHS_5,C,90,3.75,3.6,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
motorola,edge 50 neo (XT2409-1),2264840,SMARTPHONE,A,B,3.96,2024-08-12,24,7,4180,3044,12,1200,True,68,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,B,180,2.3,3.3,4.3,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
DOOGEE,Blade GT,2406123,SMARTPHONE,E,C,3.27,2025-07-03,12,5,5500,1821,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.35,2.6,3.65,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen kehuitong Technology Co., Ltd.",M300,2389062,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
nubia,Z2462N,2228133,SMARTPHONE,B,A,4,2025-04-14,24,5,4900,2660,8,800,True,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,45,4.1,4.6,4.25,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/nubia/nubia-focus-2-5g,https://www.ztedevices.com/en/support/service-center.html
MUNBYN,AS01,2387451,SMARTPHONE,A,C,3.1,2025-06-13,12,5,3520,5449,15,1500,False,30,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_5,A,270,3.25,2.6,3.7,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
